chrom	start	end	size	rid
B01	1	12687485	12539351	r01
B01	12698907	32228440	19427403	r02
B01	32245893	49882326	17331391	r03
B01	49889455	69214871	19269974	r04
B01	69236461	83294429	13995885	r05
B01	83317163	101484501	18149485	r06
B01	101522420	124463279	22940860	r07
B01	124475900	144503066	19522938	r08
B01	144513880	163938845	19397792	r09
B01	163947711	180983382	16838790	r10
B01	180990048	194398980	13289351	r11
B01	194405499	214350840	19831137	r12
B01	214364913	232303112	17781846	r13
B01	232319845	250997311	18253780	r14
B01	251181497	270154536	18750430	r15
B01	270162938	288104059	17795628	r16
B01	288145460	307041717	18423396	r17
B02	1	19607741	19194767	r18
B02	19699434	38591827	18868680	r19
B02	38622875	53867774	15106446	r20
B02	53900883	74861304	20960422	r21
B02	74867434	93060365	18118867	r22
B02	93067965	112241511	18430204	r23
B02	112253901	130479517	18220113	r24
B02	130492504	150010362	19433325	r25
B02	150112486	160357111	10161584	r26
B02	160404187	179592846	19024642	r27
B02	179636279	199367672	19460621	r28
B02	199381804	219490357	19768426	r29
B02	219543391	236171300	15773984	r30
B02	236200351	244442276	8144487	r31
B03	1	16990066	16877113	r32
B03	17003657	34612034	17534084	r33
B03	34619295	51077462	16323168	r34
B03	51092819	60305734	9212916	r35
B03	60311655	79498584	19147028	r36
B03	79518302	97522936	17479526	r37
B03	97565904	112500522	14899219	r38
B03	112522145	123893474	11363403	r39
B03	123935381	140092304	16136587	r40
B03	140104650	154843372	14730750	r41
B03	154981553	166059799	10528685	r42
B03	166240548	180619354	14356643	r43
B03	180646179	193085260	12433068	r44
B03	193092352	210290976	17173935	r45
B03	210353063	223747208	13358865	r46
B03	223757439	235667834	11910396	r47
B04	1	19715101	18938647	r48
B04	19726214	37217716	17286760	r49
B04	37234859	47279504	9947227	r50
B04	47368017	67008041	19545987	r51
B04	67020725	85726663	18561098	r52
B04	85753296	101526202	15767360	r53
B04	101561038	121203434	18969592	r54
B04	121216877	137800776	16574684	r55
B04	137805996	153130394	15289161	r56
B04	153159658	170209446	16576393	r57
B04	170256148	189618262	19086945	r58
B04	189627916	203656614	13966901	r59
B04	203678682	222181735	18401868	r60
B04	222187004	242761296	19999170	r61
B04	242830967	246994605	4163639	r62
B05	1	18121458	17933407	r63
B05	18128065	24521572	6393508	r64
B05	24562110	44901013	20338904	r65
B05	44919060	63430770	18224047	r66
B05	63456837	80506033	16983846	r67
B05	80515293	98170923	17582995	r68
B05	98209787	118496614	19772593	r69
B05	118508196	134206899	15170794	r70
B05	134235924	152571943	18212138	r71
B05	152627937	169791660	17127298	r72
B05	169808519	189842412	19830423	r73
B05	189868697	209750921	19721820	r74
B05	209755977	223902240	13684695	r75
B06	1	15074302	12460861	r76
B06	15094022	32536883	17436952	r77
B06	32608498	49599703	16982803	r78
B06	49605435	60509434	10904000	r79
B06	60587233	80076703	19323067	r80
B06	80087777	97911812	17491956	r81
B06	97930210	116153167	17629217	r82
B06	116189717	120550063	4318401	r83
B06	120590647	139419810	18812145	r84
B06	139430717	158018285	18270964	r85
B06	158025006	174033170	15726930	r86
B07	1	18893750	18861466	r87
B07	18907420	38479205	19498348	r88
B07	38487103	58542143	19870672	r89
B07	58782148	75281559	16340461	r90
B07	75288565	94180259	18390652	r91
B07	94213623	111658537	17373292	r92
B07	111730602	128652230	16614385	r93
B07	128674173	148283903	19514791	r94
B07	148290159	163950539	15439660	r95
B07	163958025	182381542	18346532	r96
B08	1	17060274	16912128	r97
B08	17116904	32603247	14853994	r98
B08	32647354	51746622	18866667	r99
B08	51913277	71963471	19914535	r100
B08	71976683	91190621	19098664	r101
B08	91202925	108492973	17227149	r102
B08	108499720	127191531	18476037	r103
B08	127281304	144849209	17439450	r104
B08	144860631	157790807	12828278	r105
B08	157807887	174210749	16309465	r106
B08	174220744	181122637	6896057	r107
B09	1	17962242	17806202	r108
B09	17968803	38021672	19971390	r109
B09	38102677	56203474	17988009	r110
B09	56230530	74992308	18533289	r111
B09	75903543	93688173	17764707	r112
B09	93758249	112960749	19111294	r113
B09	112969684	131771101	18535821	r114
B09	131785782	151705231	19725696	r115
B09	151710806	159769782	7977248	r116
B10	1	18881001	18408753	r117
B10	18926608	35784766	16770052	r118
B10	35823628	53216726	17046250	r119
B10	53254014	73299064	19886066	r120
B10	73428019	92978094	19540766	r121
B10	92991403	108410835	15385058	r122
B10	108425498	125171157	16658659	r123
B10	125184883	143705617	18352022	r124
B10	143731478	150982314	7203167	r125
B99	1	20953425	19993425	r126
B99	20963426	31304944	8751519	r127
