chrom	start	end	size	rid
B01	1	48451798	48451798	r01
B01	48574104	130710022	82135919	r02
B01	130760589	168839818	38079230	r03
B01	168900022	206694737	37794716	r04
B01	206769474	242586072	35816599	r05
B01	242685997	268852378	26166382	r06
B01	268916136	307041717	38125582	r07
B02	1	19607741	19607741	r08
B02	19699434	47692841	27993408	r09
B02	47781935	97492956	49711022	r10
B02	97578924	150010362	52431439	r11
B02	150112486	186088177	35975692	r12
B02	186161706	219490357	33328652	r13
B02	219543391	244442276	24898886	r14
B03	1	44411032	44411032	r15
B03	44474096	91774162	47300067	r16
B03	91842184	154843372	63001189	r17
B03	154981553	166059799	11078247	r18
B03	166240548	210290976	44050429	r19
B03	210353063	235667834	25314772	r20
B04	1	23138432	23138432	r21
B04	23208230	47279504	24071275	r22
B04	47368017	78545482	31177466	r23
B04	78657499	113270529	34613031	r24
B04	113326094	163810318	50484225	r25
B04	163889254	215129073	51239820	r26
B04	215223995	246994605	31770611	r27
B05	1	14629324	14629324	r28
B05	14709518	53808464	39098947	r29
B05	53903622	105334635	51431014	r30
B05	105408140	150448935	45040796	r31
B05	150542853	184799067	34256215	r32
B05	184851809	223902240	39050432	r33
B06	1	32536883	32536883	r34
B06	32608498	60509434	27900937	r35
B06	60587233	102291406	41704174	r36
B06	102768468	146069779	43301312	r37
B06	146292176	174033170	27740995	r38
B07	1	40576044	40576044	r39
B07	40643623	60085526	19441904	r40
B07	60140161	84338704	24198544	r41
B07	84474532	120475697	36001166	r42
B07	120701780	153647327	32945548	r43
B07	153714189	182381542	28667354	r44
B08	1	31714443	31714443	r45
B08	32136756	60528029	28391274	r46
B08	60600618	82177562	21576945	r47
B08	82255693	124303895	42048203	r48
B08	124402352	149126532	24724181	r49
B08	149178648	181122637	31943990	r50
B09	1	38021672	38021672	r51
B09	38102677	67206482	29103806	r52
B09	67257598	93688173	26430576	r53
B09	93758249	127921832	34163584	r54
B09	127978376	159769782	31791407	r55
B10	1	18204187	18204187	r56
B10	18299079	49363360	31064282	r57
B10	49447028	73299064	23852037	r58
B10	73428019	150982314	77554296	r59
B99	1	31304944	31304944	r60
