gid	n_mu	mid	sids	tf	ttype	impact	eff	de_BM
ENSRNA049443772	1	mu1038682	UFMu-03722	FALSE	tRNA	low	synonymous_variant	0
ENSRNA049444159	1	mu1038682	UFMu-03722	FALSE	tRNA	non-syntenic	NA	0
ENSRNA049444450	1	mu1038682	UFMu-03722	FALSE	tRNA	no_change	NA	0
ENSRNA049445571	1	mu1074344	UFMu-03722	FALSE	tRNA	moderate	missense_variant	0
ENSRNA049446184	1	mu1020130	UFMu-00995	FALSE	tRNA	no_change	NA	0
ENSRNA049446811	1	mu1067573	UFMu-08754,UFMu-10519	FALSE	tRNA	no_change	NA	0
ENSRNA049447020	1	mu1049376	UFMu-06412	FALSE	tRNA	no_change	NA	0
ENSRNA049465220	1	mu1014667	UFMu-02199	FALSE	snoRNA	no_change	NA	0
ENSRNA049465449	1	mu1079561	UFMu-09139	FALSE	snoRNA	modifier	non_coding_transcript_exon_variant	0
ENSRNA049466325	1	mu1066541	UFMu-08813	FALSE	SRP_RNA	modifier	non_coding_transcript_exon_variant	0
ENSRNA049466617	1	mu1073337	UFMu-03295	FALSE	snoRNA	modifier	non_coding_transcript_exon_variant	0
ENSRNA049470569	1	mu1035192	UFMu-03455	FALSE	snoRNA	low	splice_region_variant	0
ENSRNA049474580	1	mu1046910	UFMu-06034	FALSE	snoRNA	modifier	non_coding_transcript_exon_variant	0
ENSRNA049474907	1	mu1076287	UFMu-09268	FALSE	snoRNA	modifier	non_coding_transcript_exon_variant	0
ENSRNA049474992	1	mu1080096	UFMu-08917,UFMu-10963	FALSE	snoRNA	no_change	NA	0
ENSRNA049475237	1	mu1068470	UFMu-08402	FALSE	snoRNA	no_change	NA	0
ENSRNA049475551	1	mu1069856	UFMu-08641	FALSE	snoRNA	modifier	non_coding_transcript_exon_variant	0
ENSRNA049476173	1	mu1004052	UFMu-00321	FALSE	snoRNA	no_change	NA	0
ENSRNA049478131	1	mu1073397	UFMu-03257	FALSE	rRNA	non-syntenic	NA	0
ENSRNA049478136	1	mu1069679	UFMu-02846,UFMu-03626,UFMu-03821,UFMu-04697,UFMu-05597,UFMu-08729,UFMu-08882	FALSE	rRNA	non-syntenic	NA	0
ENSRNA049478138	1	mu1050903	UFMu-06408	FALSE	rRNA	non-syntenic	NA	0
ENSRNA049478144	1	mu1073132	UFMu-03626	FALSE	rRNA	modifier	non_coding_transcript_exon_variant	0
ENSRNA049478147	1	mu1050429	UFMu-06408,UFMu-08184	FALSE	rRNA	non-syntenic	NA	0
ENSRNA049478494	1	mu1073403	UFMu-03257	FALSE	rRNA	non-syntenic	NA	0
